brand,shoe_name,date,sales,ad_cost,impressions,clicks
Adidas,Stan Smith,2024-10-01,244,11372,24187,1629
Puma,Cali Dream,2024-10-01,81,10600,14914,965
New Balance,9060,2024-10-01,187,3023,6059,208
Reebok,Zig Kinetica,2024-10-01,84,4049,32430,1463
Nike,Jordan 1,2024-10-01,215,8115,17521,951
Adidas,Ultraboost 23,2024-10-01,197,7577,29776,1973
Puma,RS-X,2024-10-01,194,5519,34968,1101
New Balance,2002R,2024-10-01,94,6909,21420,1405
Reebok,Instapump Fury,2024-10-01,163,10994,13184,817
Nike,Cortez,2024-10-01,216,7852,24120,1413
Adidas,NMD S1,2024-10-01,135,10847,14502,1103
Puma,Suede Classic,2024-10-01,211,7750,8757,655
New Balance,990v6,2024-10-01,142,9499,9823,471
Reebok,Nano X3,2024-10-01,119,10908,27039,1931
Nike,Vaporfly 3,2024-10-01,114,6806,17960,966
Adidas,Samba,2024-10-02,162,5484,25998,2024
Puma,Mayze,2024-10-02,206,7878,23571,670
New Balance,574 Core,2024-10-02,230,4000,29316,1354
Reebok,Club C 85,2024-10-02,20,10741,17441,1083
Nike,Pegasus 40,2024-10-02,90,10240,16020,440
Adidas,Gazelle,2024-10-02,249,10034,14477,502
Puma,Slipstream,2024-10-02,234,5986,21485,983
New Balance,550,2024-10-02,41,1908,13887,866
Reebok,Classic Leather,2024-10-02,142,7997,17664,366
Nike,Air Force 1,2024-10-02,174,4709,28548,804
Adidas,Superstar,2024-10-02,88,6459,15170,964
Puma,Rider Vintage,2024-10-02,144,9096,19155,1133
New Balance,327,2024-10-02,160,2717,19452,1159
Reebok,Question Mid,2024-10-02,192,4430,30273,1256
Nike,Air Max 270,2024-10-02,144,6017,16864,563
Adidas,Stan Smith,2024-10-03,61,1708,17986,1277
Puma,Cali Dream,2024-10-03,174,8745,19160,1345
New Balance,9060,2024-10-03,200,6793,10714,843
Reebok,Zig Kinetica,2024-10-03,71,2626,19668,711
Nike,Jordan 1,2024-10-03,40,11700,8515,629
Adidas,Ultraboost 23,2024-10-03,72,11674,28244,1504
Puma,RS-X,2024-10-03,150,2092,13658,689
New Balance,2002R,2024-10-03,126,11275,23292,698
Reebok,Instapump Fury,2024-10-03,29,4750,8664,575
Nike,Cortez,2024-10-03,136,11289,19186,1324
Adidas,NMD S1,2024-10-03,165,1926,27812,1772
Puma,Suede Classic,2024-10-03,28,5067,9633,598
New Balance,990v6,2024-10-03,87,1517,26701,713
Reebok,Nano X3,2024-10-03,82,7543,8231,350
Nike,Vaporfly 3,2024-10-03,191,12000,34421,969
Adidas,Samba,2024-10-04,101,9682,20491,1366
Puma,Mayze,2024-10-04,73,4732,11864,914
New Balance,574 Core,2024-10-04,139,5068,29432,722
Reebok,Club C 85,2024-10-04,226,9309,15951,1128
Nike,Pegasus 40,2024-10-04,245,5945,14929,432
Adidas,Gazelle,2024-10-04,166,9123,20128,575
Puma,Slipstream,2024-10-04,184,9911,18543,1035
New Balance,550,2024-10-04,131,4954,20540,657
Reebok,Classic Leather,2024-10-04,163,7792,20438,1159
Nike,Air Force 1,2024-10-04,182,4221,11743,310
Adidas,Superstar,2024-10-04,124,9058,17208,1353
Puma,Rider Vintage,2024-10-04,110,1680,33348,1292
New Balance,327,2024-10-04,233,3993,9155,342
Reebok,Question Mid,2024-10-04,101,12016,32405,1040
Nike,Air Max 270,2024-10-04,222,3936,18079,1239
Adidas,Stan Smith,2024-10-05,32,11738,30916,874
Puma,Cali Dream,2024-10-05,37,4153,21458,1231
New Balance,9060,2024-10-05,122,8086,16517,524
Reebok,Zig Kinetica,2024-10-05,68,3299,16112,556
Nike,Jordan 1,2024-10-05,81,11388,27724,1197
Adidas,Ultraboost 23,2024-10-05,199,7471,10267,590
Puma,RS-X,2024-10-05,48,3413,29467,1748
New Balance,2002R,2024-10-05,68,6684,23557,1480
Reebok,Instapump Fury,2024-10-05,147,2537,29186,1020
Nike,Cortez,2024-10-05,100,8002,11713,494
Adidas,NMD S1,2024-10-05,87,7902,27289,660
Puma,Suede Classic,2024-10-05,176,3247,18412,1085
New Balance,990v6,2024-10-05,171,6352,5987,159
Reebok,Nano X3,2024-10-05,178,11903,12540,494
Nike,Vaporfly 3,2024-10-05,33,7518,32397,1337
Adidas,Samba,2024-10-06,73,4317,12725,787
Puma,Mayze,2024-10-06,237,10497,16884,1057
New Balance,574 Core,2024-10-06,105,10978,25653,1302
Reebok,Club C 85,2024-10-06,155,5674,28160,1888
Nike,Pegasus 40,2024-10-06,60,12059,10957,709
Adidas,Gazelle,2024-10-06,230,7833,12690,774
Puma,Slipstream,2024-10-06,36,8918,18693,1156
New Balance,550,2024-10-06,100,5922,13200,486
Reebok,Classic Leather,2024-10-06,199,9465,7842,390
Nike,Air Force 1,2024-10-06,197,8725,15477,1111
Adidas,Superstar,2024-10-06,170,11932,25590,1541
Puma,Rider Vintage,2024-10-06,97,11279,12627,341
New Balance,327,2024-10-06,111,7712,19580,1187
Reebok,Question Mid,2024-10-06,176,10451,21294,1079
Nike,Air Max 270,2024-10-06,206,3930,13699,364
Adidas,Stan Smith,2024-10-07,250,9085,25821,1607
Puma,Cali Dream,2024-10-07,131,7724,9145,188
New Balance,9060,2024-10-07,75,10758,16310,1280
Reebok,Zig Kinetica,2024-10-07,25,11013,25311,1554
Nike,Jordan 1,2024-10-07,95,6555,12497,835
Adidas,Ultraboost 23,2024-10-07,88,6479,17856,1395
Puma,RS-X,2024-10-07,140,11115,9527,709
New Balance,2002R,2024-10-07,28,8533,15013,754
Reebok,Instapump Fury,2024-10-07,235,8645,24376,1549
Nike,Cortez,2024-10-07,209,4611,6853,265
Adidas,NMD S1,2024-10-07,92,4216,8722,210
Puma,Suede Classic,2024-10-07,78,2042,14292,558
New Balance,990v6,2024-10-07,116,4673,9485,709
Reebok,Nano X3,2024-10-07,236,6496,19490,1417
Nike,Vaporfly 3,2024-10-07,208,6868,27942,1215
Adidas,Samba,2024-10-08,77,3318,7977,386
Puma,Mayze,2024-10-08,157,3493,32222,1427
New Balance,574 Core,2024-10-08,164,7558,28187,710
Reebok,Club C 85,2024-10-08,20,3045,6515,379
Nike,Pegasus 40,2024-10-08,39,6439,12040,928
Adidas,Gazelle,2024-10-08,34,11418,11080,857
Puma,Slipstream,2024-10-08,20,6481,17288,1371
New Balance,550,2024-10-08,179,7212,19485,503
Reebok,Classic Leather,2024-10-08,93,11565,25944,1978
Nike,Air Force 1,2024-10-08,160,2609,8518,306
Adidas,Superstar,2024-10-08,108,5151,34616,2064
Puma,Rider Vintage,2024-10-08,71,7350,8999,632
New Balance,327,2024-10-08,38,4385,16782,955
Reebok,Question Mid,2024-10-08,221,6282,30962,1955
Nike,Air Max 270,2024-10-08,142,1737,17220,1274
Adidas,Stan Smith,2024-10-09,34,5755,16594,1051
Puma,Cali Dream,2024-10-09,138,6188,9041,505
New Balance,9060,2024-10-09,109,10351,31283,1953
Reebok,Zig Kinetica,2024-10-09,78,2410,14080,610
Nike,Jordan 1,2024-10-09,33,2145,22702,1005
